date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2015-12-01,0.3,-1,3.5,,,,5.7,,,
2015-12-02,1.4,-2.8,5.6,,,306,21.6,,,
2015-12-03,-0.1,-2,2.5,,,313,26.4,,,
2015-12-04,2.6,-2,6.5,,,291,17.3,,,
2015-12-05,1.3,-5,8,,,,9.5,,,
2015-12-06,0.7,-5,6.1,,,,4.8,,,
2015-12-07,0.7,-2,5.1,,,,4.7,,,
2015-12-08,1.2,-1.2,2.3,,,,3.6,,,
2015-12-09,1.8,1,5,0,,,,,,
2015-12-10,3.3,-3,9.5,,,,,,,
2015-12-11,1,-4,6.1,,,,7.4,,,
2015-12-12,-0.7,-4,5.4,,,,4.1,,1026.2,
2015-12-13,0.9,-5,4.4,1.5,,,4.5,,,
2015-12-14,2.4,0,6,0.3,,,10.8,,,
2015-12-15,0.3,-1,4,0,,315,21.8,,,
2015-12-16,-2.4,-3,2,,,330,26.6,,,
2015-12-17,-1.8,-7,4,,,,7.4,,,
2015-12-18,-0.5,-8,7,,,,7.7,,,
2015-12-19,-1.7,-7,3.8,,,,4.2,,,
2015-12-20,-2.8,-5,2.7,,,,4.1,,,
2015-12-21,-1.4,-6,6,,,,6.5,,,
2015-12-22,-2.4,-6,1,,,,5.1,,,
2015-12-23,0.8,-6,7,,,,6.2,,,
2015-12-24,-1.5,-4,6,,,,7.1,,1027.1,
2015-12-25,-3.5,-5.4,-2,,,,5,,,
2015-12-26,-3.1,-5,0.1,0,,,8.1,,,
2015-12-27,-7.3,-9,-2.8,0,,,5.4,,1038.6,
2015-12-28,-2.7,-8.2,3.1,0,,,7.2,,1035.1,
2015-12-29,-2.4,-7,3.4,,,,4.4,,,
2015-12-30,-0.7,-6,7,,,348,12.8,,1030.6,
2015-12-31,-2.6,-8,4.3,,,,6,,,
2016-01-01,-2,-7,5,,,,4.5,,,
2016-01-02,-1.3,-6,8,,,,5.3,,,
2016-01-03,-1.8,-6,3.2,,,,5.3,,,
2016-01-04,-2.1,-6,2,,,,13.2,,,
2016-01-05,-4.6,-8,2,,,321,14.7,,,
2016-01-06,-2.4,-10,3.6,,,345,16.4,,,
2016-01-07,-3,-10,1.1,,,333,18.8,,,
2016-01-08,-5,-10,2,,,,10.2,,,
2016-01-09,-3.4,-11,5,,,,6.8,,1025.1,
2016-01-10,-3.6,-10,2,,,,6.9,,,
2016-01-11,-6.9,-11,-1,,,2,14,,,
2016-01-12,-4.3,-15,-0.8,,,345,18.2,,1032.2,
2016-01-13,-4.8,-9,3,,,,13.5,,1024.4,
2016-01-14,-2.2,-11,5,,,,8.9,,,
2016-01-15,-1.1,-10,5,,,,5.9,,,
2016-01-16,-3.3,-4,-1,0,,,6.9,,,
2016-01-17,-8,-11,-3.8,,,,12.5,,1026.6,
2016-01-18,-10.1,-12,-5.2,,,338,19.5,,,
2016-01-19,-8.1,-15,-1,,,,7.5,,,
2016-01-20,-6.1,-9.3,-3,,,,6.6,,,
2016-01-21,-6.3,-7.2,-3,,,,5.6,,,
2016-01-22,-12.2,-13,-5.8,,,,22.7,,,
2016-01-23,-14.9,-16,-13,,,348,28.8,,,
2016-01-24,-7.6,-15.1,-3.9,,,319,26,,,
2016-01-25,-1.8,-10.1,2,,,330,16.4,,,
2016-01-26,-2.9,-5,2,,,313,17.4,,,
2016-01-27,-4.2,-13,3,,,,6,,,
2016-01-28,-2.8,-10,5,,,,7.8,,,
2016-01-29,-5.8,-9,-2,,,,7.1,,,
2016-01-30,-7.3,-11,-3,,,,8.1,,,
2016-01-31,-4.3,-13,1.1,,,339,14.3,,,
2016-02-01,-2.1,-13,3.4,,,,13.1,,,
2016-02-02,-1.8,-7,6,,,,9.8,,,
2016-02-03,0.2,-8.5,7,,,339,9.8,,,
2016-02-04,0.2,-5,5,,,,,,,
2016-02-05,-1.1,-3,3,,,330,23.1,,,
2016-02-06,-1.2,-9,6,,,,10.1,,1029.1,
2016-02-07,0.3,-8,7.9,,,,10.8,,1019.9,
2016-02-08,4.2,-8,12,,,,14.7,,1015.1,
2016-02-09,2.1,-5,11,,,,7.1,,,
2016-02-10,2.7,-4.9,9,,,,5.3,,,
2016-02-11,3.6,-1,7,,,,5.1,,,
2016-02-12,4.6,-2,10,7.9,,,7.1,,1016.2,
2016-02-13,-2.1,-4.2,4,,,326,29.6,,,
2016-02-14,-3.7,-7,-0.8,,,320,28.2,,1031.8,
2016-02-15,1,-7.4,,,,,,,,
2016-02-16,2.3,,,,,,,,,
2016-02-17,5.9,-4.3,10,,,,8.6,,1021.8,
2016-02-18,4.4,0,9.1,,,,,,1020.5,
2016-02-19,1.1,,,,,,,,,
2016-02-20,-1.4,-4,4,,,314,15.5,,,
2016-02-21,0.1,-7.2,6,,,,9.2,,,
2016-02-22,2.1,-4.5,9,,,,15.3,,,
2016-02-23,-2.7,-4,3,,,,17.4,,,
